场次ID,客户ID,主播名称,直播间ID,直播主题,报告类型,指标类型,指标值,观看排名,观看时长秒,分析时间,来源文件,创建时间,更新时间
db::7621123069392014106::点赞榜::60484904920,60484904920,"财经葛先生",7621123069392014106,"A股、黄金终于反弹！如何去布局呢?",dbLiveAnalytics,点赞榜,5,87,316,2026-03-25 17:30:11,"douyin_creator_live_room_analytics_data",2026-05-08 10:15:15,2026-05-08 10:15:15
db::7621123069392014106::点赞榜::61304124180,61304124180,"财经葛先生",7621123069392014106,"A股、黄金终于反弹！如何去布局呢?",dbLiveAnalytics,点赞榜,5,182,1144,2026-03-25 17:30:11,"douyin_creator_live_room_analytics_data",2026-05-08 10:15:11,2026-05-08 10:15:11
db::7621123069392014106::点赞榜::61540679538,61540679538,"财经葛先生",7621123069392014106,"A股、黄金终于反弹！如何去布局呢?",dbLiveAnalytics,点赞榜,5,122,483,2026-03-25 17:30:11,"douyin_creator_live_room_analytics_data",2026-05-08 10:17:31,2026-05-08 10:17:31
db::7621123069392014106::点赞榜::61742358113,61742358113,"财经葛先生",7621123069392014106,"A股、黄金终于反弹！如何去布局呢?",dbLiveAnalytics,点赞榜,10,21,1908,2026-03-25 17:30:11,"douyin_creator_live_room_analytics_data",2026-05-08 10:12:14,2026-05-08 10:12:14
db::7621123069392014106::点赞榜::61986708310,61986708310,"财经葛先生",7621123069392014106,"A股、黄金终于反弹！如何去布局呢?",dbLiveAnalytics,点赞榜,5,152,1237,2026-03-25 17:30:11,"douyin_creator_live_room_analytics_data",2026-05-08 10:17:31,2026-05-08 10:17:31
db::7621123069392014106::点赞榜::62151559121,62151559121,"财经葛先生",7621123069392014106,"A股、黄金终于反弹！如何去布局呢?",dbLiveAnalytics,点赞榜,6,66,303,2026-03-25 17:30:11,"douyin_creator_live_room_analytics_data",2026-05-08 10:13:41,2026-05-08 10:13:41
db::7621123069392014106::点赞榜::62264039125,62264039125,"财经葛先生",7621123069392014106,"A股、黄金终于反弹！如何去布局呢?",dbLiveAnalytics,点赞榜,6,63,3120,2026-03-25 17:30:11,"douyin_creator_live_room_analytics_data",2026-05-08 10:17:18,2026-05-08 10:17:18
db::7621123069392014106::点赞榜::62288517928,62288517928,"财经葛先生",7621123069392014106,"A股、黄金终于反弹！如何去布局呢?",dbLiveAnalytics,点赞榜,5,103,850,2026-03-25 17:30:11,"douyin_creator_live_room_analytics_data",2026-05-08 10:12:05,2026-05-08 10:12:05
db::7621123069392014106::点赞榜::624171166209934,624171166209934,"财经葛先生",7621123069392014106,"A股、黄金终于反弹！如何去布局呢?",dbLiveAnalytics,点赞榜,5,136,2666,2026-03-25 17:30:11,"douyin_creator_live_room_analytics_data",2026-05-08 10:12:14,2026-05-08 10:12:14
db::7621123069392014106::点赞榜::62561081187,62561081187,"财经葛先生",7621123069392014106,"A股、黄金终于反弹！如何去布局呢?",dbLiveAnalytics,点赞榜,5,128,741,2026-03-25 17:30:11,"douyin_creator_live_room_analytics_data",2026-05-08 10:14:30,2026-05-08 10:14:30
